module,layer,param_count,kurtosis
self_attn.k_proj,25,4194304,3.731637101164556
self_attn.v_proj,25,4194304,3.606963310283395
self_attn.o_proj,25,16777216,3.353301568862519
mlp.gate_proj,25,50331648,3.7010141500045375
mlp.down_proj,25,50331648,3.5062903410028596
mlp.up_proj,25,50331648,3.2634803496549942
self_attn.q_proj,26,16777216,4.525310941496539
self_attn.k_proj,26,4194304,3.8516712676890608
self_attn.v_proj,26,4194304,3.5550430098566586
self_attn.o_proj,26,16777216,3.5029344281455024
mlp.gate_proj,26,50331648,3.516841003730707
mlp.down_proj,26,50331648,3.3988291312774117
mlp.up_proj,26,50331648,3.2873835373735623
self_attn.q_proj,27,16777216,4.364207553415131
self_attn.k_proj,27,4194304,3.9453304969666907
self_attn.v_proj,27,4194304,3.59525526384917
self_attn.o_proj,27,16777216,3.466064411679335
mlp.gate_proj,27,50331648,3.6298698945332153
mlp.down_proj,27,50331648,3.4241784298113966
mlp.up_proj,27,50331648,3.23329138782689
self_attn.q_proj,28,16777216,4.342530233862741
self_attn.k_proj,28,4194304,3.980842105404422
self_attn.v_proj,28,4194304,3.404486681984997
self_attn.o_proj,28,16777216,4.171793926922165
mlp.gate_proj,28,50331648,3.7995056716172737
mlp.down_proj,28,50331648,3.6278368893081145
mlp.up_proj,28,50331648,3.2814764188955365
self_attn.q_proj,29,16777216,4.57412224703693
self_attn.k_proj,29,4194304,4.467150070024177
self_attn.v_proj,29,4194304,4.324573662599141
self_attn.o_proj,29,16777216,3.2883411701062375
mlp.gate_proj,29,50331648,3.3632119145747152
mlp.down_proj,29,50331648,3.3714387559734638
mlp.up_proj,29,50331648,3.1470439628898874
self_attn.q_proj,30,16777216,4.43120527525527
self_attn.k_proj,30,4194304,4.211077263482161
self_attn.v_proj,30,4194304,4.090042170082016
self_attn.o_proj,30,16777216,3.4963261887536063
mlp.gate_proj,30,50331648,3.446688163532399
mlp.down_proj,30,50331648,3.5756297172888334
mlp.up_proj,30,50331648,3.1448239675706744
self_attn.q_proj,31,16777216,4.328104446565007
self_attn.k_proj,31,4194304,4.3340755999187985
self_attn.v_proj,31,4194304,3.8122841253068893
self_attn.o_proj,31,16777216,3.346408056546486
mlp.gate_proj,31,50331648,3.437135881438056
mlp.down_proj,31,50331648,3.417398979440722
mlp.up_proj,31,50331648,3.1753507665237564
self_attn.q_proj,32,16777216,4.554424243476571
self_attn.k_proj,32,4194304,4.486103847418639
self_attn.v_proj,32,4194304,4.091581226872238
self_attn.o_proj,32,16777216,3.6065577573925807
mlp.gate_proj,32,50331648,3.442294596940012
mlp.down_proj,32,50331648,3.465572932550378
mlp.up_proj,32,50331648,3.172980374361728
self_attn.q_proj,33,16777216,5.060775206222359
self_attn.k_proj,33,4194304,4.680090592211514
self_attn.v_proj,33,4194304,3.896278664855261
self_attn.o_proj,33,16777216,3.3469264028743453
mlp.gate_proj,33,50331648,3.540755340032798
mlp.down_proj,33,50331648,3.401107733564681
mlp.up_proj,33,50331648,3.227168304783581
self_attn.q_proj,34,16777216,4.754147419649401
self_attn.k_proj,34,4194304,4.570964463523233
self_attn.v_proj,34,4194304,3.987365679503545
self_attn.o_proj,34,16777216,4.135442527602238
mlp.gate_proj,34,50331648,3.7358651692181097
mlp.down_proj,34,50331648,6.449407651623265
mlp.up_proj,34,50331648,3.265422178613862
self_attn.q_proj,35,16777216,4.045388579347707
self_attn.k_proj,35,4194304,3.789734028923394
self_attn.v_proj,35,4194304,3.5914908167972004
self_attn.o_proj,35,16777216,7.439195686502025
mlp.gate_proj,35,50331648,3.8274763070771414
mlp.down_proj,35,50331648,11.664499612717798
mlp.up_proj,35,50331648,3.5060495766237336
