module,layer,param_count,kurtosis
mlp.up_proj,30,70778880,3.0423417803431696
self_attn.q_proj,31,26214400,3.5746784321998972
self_attn.k_proj,31,26214400,3.7005669290359076
self_attn.v_proj,31,26214400,3.082027691980877
self_attn.o_proj,31,26214400,3.1539103185663726
mlp.gate_proj,31,70778880,3.231870053797732
mlp.down_proj,31,70778880,3.1999752212382955
mlp.up_proj,31,70778880,3.026023815726937
self_attn.q_proj,32,26214400,3.648626260402023
self_attn.k_proj,32,26214400,3.8127163060765277
self_attn.v_proj,32,26214400,3.0790647819921895
self_attn.o_proj,32,26214400,3.1787468600069664
mlp.gate_proj,32,70778880,3.2412875372910315
mlp.down_proj,32,70778880,3.218702971060462
mlp.up_proj,32,70778880,3.037189293635506
self_attn.q_proj,33,26214400,3.606294432238728
self_attn.k_proj,33,26214400,3.7002149416408994
self_attn.v_proj,33,26214400,3.064640666796211
self_attn.o_proj,33,26214400,3.782551729012757
mlp.gate_proj,33,70778880,3.2633987551023353
mlp.down_proj,33,70778880,3.368253222560591
mlp.up_proj,33,70778880,3.0444602722176484
self_attn.q_proj,34,26214400,3.7008888716634907
self_attn.k_proj,34,26214400,3.9016793791258264
self_attn.v_proj,34,26214400,3.0699658643467256
self_attn.o_proj,34,26214400,3.089490962048976
mlp.gate_proj,34,70778880,3.276419555666429
mlp.down_proj,34,70778880,3.0853296262737886
mlp.up_proj,34,70778880,3.052189834731244
self_attn.q_proj,35,26214400,3.695354537166732
self_attn.k_proj,35,26214400,3.877189056760186
self_attn.v_proj,35,26214400,3.08790764923557
self_attn.o_proj,35,26214400,3.151090877754406
mlp.gate_proj,35,70778880,3.2620195372275735
mlp.down_proj,35,70778880,3.0694624239201405
mlp.up_proj,35,70778880,3.0455443318297197
self_attn.q_proj,36,26214400,3.642855649545628
self_attn.k_proj,36,26214400,3.833528981728686
self_attn.v_proj,36,26214400,3.1403323886474728
self_attn.o_proj,36,26214400,3.2896862307779187
mlp.gate_proj,36,70778880,3.330972969715487
mlp.down_proj,36,70778880,3.175252880494978
mlp.up_proj,36,70778880,3.056325074580746
self_attn.q_proj,37,26214400,3.957392821774528
self_attn.k_proj,37,26214400,4.254668164665942
self_attn.v_proj,37,26214400,3.1504427946267484
self_attn.o_proj,37,26214400,5.5332901959324925
mlp.gate_proj,37,70778880,3.6163712417859415
mlp.down_proj,37,70778880,3.3536157623483787
mlp.up_proj,37,70778880,3.093066664166201
self_attn.q_proj,38,26214400,4.022298271040198
self_attn.k_proj,38,26214400,4.238062894882317
self_attn.v_proj,38,26214400,3.168706955380703
self_attn.o_proj,38,26214400,4.620147934426817
mlp.gate_proj,38,70778880,4.20085133702986
mlp.down_proj,38,70778880,4.5711958175866725
mlp.up_proj,38,70778880,3.990713763191592
self_attn.q_proj,39,26214400,4.085587322066365
self_attn.k_proj,39,26214400,4.530434964667962
self_attn.v_proj,39,26214400,5.760929836951725
self_attn.o_proj,39,26214400,62.18514136779736
mlp.gate_proj,39,70778880,3.535894804400329
mlp.down_proj,39,70778880,9.784047895918558
mlp.up_proj,39,70778880,4.174917959911426
