module,layer,param_count,kurtosis
self_attn.v_proj,23,2621440,4.444195641325555
self_attn.o_proj,23,10485760,4.417506729656154
mlp.gate_proj,23,24903680,4.560108842536819
mlp.down_proj,23,24903680,3.8324032214373376
mlp.up_proj,23,24903680,3.4538487288781394
self_attn.q_proj,24,10485760,5.974853878953764
self_attn.k_proj,24,2621440,4.62668324370435
self_attn.v_proj,24,2621440,5.126785856091666
self_attn.o_proj,24,10485760,5.709521123102804
mlp.gate_proj,24,24903680,3.994252119079401
mlp.down_proj,24,24903680,3.654858687857337
mlp.up_proj,24,24903680,3.3325618038239067
self_attn.q_proj,25,10485760,4.831917126821248
self_attn.k_proj,25,2621440,3.8713755841214708
self_attn.v_proj,25,2621440,3.6512967981925644
self_attn.o_proj,25,10485760,3.3817981090847415
mlp.gate_proj,25,24903680,3.9102743512880505
mlp.down_proj,25,24903680,3.576846619783876
mlp.up_proj,25,24903680,3.3311342676021254
self_attn.q_proj,26,10485760,5.215155365400787
self_attn.k_proj,26,2621440,4.011276779838502
self_attn.v_proj,26,2621440,3.6586861947919216
self_attn.o_proj,26,10485760,3.4929708163415008
mlp.gate_proj,26,24903680,3.7119532755340074
mlp.down_proj,26,24903680,3.4152116880555203
mlp.up_proj,26,24903680,3.3121801001427125
self_attn.q_proj,27,10485760,4.9087214834395825
self_attn.k_proj,27,2621440,4.062868162499059
self_attn.v_proj,27,2621440,3.7261971312783952
self_attn.o_proj,27,10485760,3.5152002190643685
mlp.gate_proj,27,24903680,3.8329750462969594
mlp.down_proj,27,24903680,3.4492738567671597
mlp.up_proj,27,24903680,3.2706982379691376
self_attn.q_proj,28,10485760,5.028487416639257
self_attn.k_proj,28,2621440,4.132598809251543
self_attn.v_proj,28,2621440,3.4877280761684477
self_attn.o_proj,28,10485760,4.140234735555428
mlp.gate_proj,28,24903680,4.031584990478492
mlp.down_proj,28,24903680,3.571757279182854
mlp.up_proj,28,24903680,3.3392348434510946
self_attn.q_proj,29,10485760,5.4952640318982
self_attn.k_proj,29,2621440,4.871049355168381
self_attn.v_proj,29,2621440,4.750744895131683
self_attn.o_proj,29,10485760,3.3339451284660084
mlp.gate_proj,29,24903680,3.546133325620335
mlp.down_proj,29,24903680,3.3899004322640396
mlp.up_proj,29,24903680,3.1871673316863087
self_attn.q_proj,30,10485760,4.730655064060836
self_attn.k_proj,30,2621440,4.632320354065156
self_attn.v_proj,30,2621440,4.394996303744601
self_attn.o_proj,30,10485760,3.492055475356061
mlp.gate_proj,30,24903680,3.602159781929627
mlp.down_proj,30,24903680,3.5621977207994426
mlp.up_proj,30,24903680,3.1851493464622727
self_attn.q_proj,31,10485760,4.9058135026015375
self_attn.k_proj,31,2621440,4.7837391724163325
self_attn.v_proj,31,2621440,4.112966861606464
self_attn.o_proj,31,10485760,3.4326840474904055
mlp.gate_proj,31,24903680,3.6962994155383138
mlp.down_proj,31,24903680,3.5249842068242243
mlp.up_proj,31,24903680,3.2153184207783476
self_attn.q_proj,32,10485760,5.091440713475687
self_attn.k_proj,32,2621440,4.97617998198066
self_attn.v_proj,32,2621440,4.374498148427975
self_attn.o_proj,32,10485760,3.646425850829135
mlp.gate_proj,32,24903680,3.711555350478091
mlp.down_proj,32,24903680,3.5280634434025653
mlp.up_proj,32,24903680,3.2358785926400304
self_attn.q_proj,33,10485760,5.777486554347043
self_attn.k_proj,33,2621440,5.405199789685683
self_attn.v_proj,33,2621440,4.114427297432304
self_attn.o_proj,33,10485760,3.5286788440751633
mlp.gate_proj,33,24903680,3.8670866270601767
mlp.down_proj,33,24903680,3.5283809922628975
mlp.up_proj,33,24903680,3.298083607556517
self_attn.q_proj,34,10485760,5.3403229010976965
self_attn.k_proj,34,2621440,5.07820337966361
self_attn.v_proj,34,2621440,4.218392452067374
self_attn.o_proj,34,10485760,4.023512068728858
mlp.gate_proj,34,24903680,4.188207735041519
mlp.down_proj,34,24903680,5.3964053047744445
mlp.up_proj,34,24903680,3.4059445156948485
self_attn.q_proj,35,10485760,4.242149977485459
self_attn.k_proj,35,2621440,4.630365394693358
self_attn.v_proj,35,2621440,3.7290173678813856
self_attn.o_proj,35,10485760,5.29634254574227
mlp.gate_proj,35,24903680,5.177992249494421
mlp.down_proj,35,24903680,4.805567501337388
mlp.up_proj,35,24903680,3.7029729235110427
